央视,#genre#
CCTV-1,http://38.75.136.137:98/gslb/dsdqpub/cctv1.m3u8?auth=testpub
CCTV-2,http://38.75.136.137:98/gslb/dsdqpub/cctv2.m3u8?auth=testpub
CCTV-3,http://38.75.136.137:98/gslb/dsdqpub/cctv3.m3u8?auth=testpub
CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4.m3u8?auth=testpub
CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5.m3u8?auth=testpub
CCTV-5+,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV-6,http://38.75.136.137:98/gslb/dsdqpub/cctv6.m3u8?auth=testpub
CCTV-7,http://38.75.136.137:98/gslb/dsdqpub/cctv7.m3u8?auth=testpub
CCTV-8,http://38.75.136.137:98/gslb/dsdqpub/cctv8.m3u8?auth=testpub
CCTV-9,http://38.75.136.137:98/gslb/dsdqpub/cctv9.m3u8?auth=testpub
CCTV-10,http://38.75.136.137:98/gslb/dsdqpub/cctv10.m3u8?auth=testpub
CCTV-11,http://38.75.136.137:98/gslb/dsdqpub/cctv11.m3u8?auth=testpub
CCTV-12,http://38.75.136.137:98/gslb/dsdqpub/cctv12.m3u8?auth=testpub
CCTV-13,http://38.75.136.137:98/gslb/dsdqpub/cctv13.m3u8?auth=testpub
CCTV-14,http://38.75.136.137:98/gslb/dsdqpub/cctv14.m3u8?auth=testpub
CCTV-15,http://38.75.136.137:98/gslb/dsdqpub/cctv15.m3u8?auth=testpub
CCTV-16,http://38.75.136.137:98/gslb/dsdqpub/cctv16.m3u8?auth=testpub
CCTV-17,http://38.75.136.137:98/gslb/dsdqpub/cctv17.m3u8?auth=testpub
CCTV-4K超高清,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV-8K超高清,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub
CCTV-1,http://107.150.60.122/live/cctv1.m3u8
CCTV-2,http://107.150.60.122/live/cctv2.m3u8
CCTV-3,http://107.150.60.122/live/cctv3.m3u8
CCTV-4,http://107.150.60.122/live/cctv4.m3u8
CCTV-5,http://107.150.60.122/live/cctv5.m3u8
CCTV-6,http://107.150.60.122/live/cctv6.m3u8
CCTV-7,http://107.150.60.122/live/cctv7.m3u8
CCTV-8,http://107.150.60.122/live/cctv8.m3u8
CCTV-9,http://107.150.60.122/live/cctv9.m3u8
CCTV-10,http://107.150.60.122/live/cctv10.m3u8
CCTV-11,http://107.150.60.122/live/cctv11.m3u8
CCTV-12,http://107.150.60.122/live/cctv12.m3u8
CCTV-13,http://107.150.60.122/live/cctv13.m3u8
CCTV-14,http://107.150.60.122/live/cctv14.m3u8
CCTV-15,http://107.150.60.122/live/cctv15.m3u8
CCTV-16,http://107.150.60.122/live/cctv16.m3u8
CCTV-17,http://107.150.60.122/live/cctv17.m3u8
CCTV-5+,http://107.150.60.122/live/cctv5p.m3u8
CCTV-4K超高清,http://107.150.60.122/live/cctv4k.m3u8
CCTV-8K超高清,http://107.150.60.122/live/cctv8k.m3u8
CCTV-1,http://192.151.150.154/live/cctv1.m3u8
CCTV-2,http://192.151.150.154/live/cctv2.m3u8
CCTV-3,http://192.151.150.154/live/cctv3.m3u8
CCTV-4,http://192.151.150.154/live/cctv4.m3u8
CCTV-5,http://192.151.150.154/live/cctv5.m3u8
CCTV-6,http://192.151.150.154/live/cctv6.m3u8
CCTV-7,http://192.151.150.154/live/cctv7.m3u8
CCTV-8,http://192.151.150.154/live/cctv8.m3u8
CCTV-9,http://192.151.150.154/live/cctv9.m3u8
CCTV-10,http://192.151.150.154/live/cctv10.m3u8
CCTV-11,http://192.151.150.154/live/cctv11.m3u8
CCTV-12,http://192.151.150.154/live/cctv12.m3u8
CCTV-13,http://192.151.150.154/live/cctv13.m3u8
